uf,ano,mes,segmento,consumo_mwh
RJ,2023,4,residencial,1183337.04
SP,2023,4,residencial,3796243.257
PR,2023,4,residencial,779955.996
SC,2023,4,residencial,663621.921
RS,2023,4,residencial,911390.511
MS,2023,4,residencial,207365.218
MT,2023,4,residencial,280230.596
GO,2023,4,residencial,532918.521
DF,2023,4,residencial,206545.0
RO,2023,5,residencial,136711.757
AC,2023,5,residencial,49122.622
AM,2023,5,residencial,200059.0
RR,2023,5,residencial,54598.593
PA,2023,5,residencial,396259.494
AP,2023,5,residencial,58305.224
TO,2023,5,residencial,104233.94
MA,2023,5,residencial,379762.307
PI,2023,5,residencial,173454.04
CE,2023,5,residencial,448385.7
RN,2023,5,residencial,210747.0
PB,2023,5,residencial,227464.988
PE,2023,5,residencial,511800.0
AL,2023,5,residencial,161583.647
SE,2023,5,residencial,122065.962
BA,2023,5,residencial,688308.768
MG,2023,5,residencial,1145249.612
ES,2023,5,residencial,254935.541
RJ,2023,5,residencial,1008990.335
SP,2023,5,residencial,3519040.326
PR,2023,5,residencial,698247.941
SC,2023,5,residencial,590790.728
RS,2023,5,residencial,760430.975
MS,2023,5,residencial,174527.671
MT,2023,5,residencial,295835.975
GO,2023,5,residencial,509935.075
DF,2023,5,residencial,190100.0
RO,2023,6,residencial,137870.033
AC,2023,6,residencial,48600.554
AM,2023,6,residencial,212651.0
RR,2023,6,residencial,53100.859
PA,2023,6,residencial,428716.489
AP,2023,6,residencial,56900.673
TO,2023,6,residencial,106523.214
MA,2023,6,residencial,381032.367
PI,2023,6,residencial,178027.287
CE,2023,6,residencial,468261.089
RN,2023,6,residencial,194619.0
PB,2023,6,residencial,194454.297
PE,2023,6,residencial,442581.0
AL,2023,6,residencial,149102.411
SE,2023,6,residencial,113169.845
BA,2023,6,residencial,590410.467
MG,2023,6,residencial,1119218.785
ES,2023,6,residencial,234952.104
RJ,2023,6,residencial,928108.964
SP,2023,6,residencial,3595359.912
PR,2023,6,residencial,703333.395
SC,2023,6,residencial,580929.152
RS,2023,6,residencial,780062.636
MS,2023,6,residencial,156949.419
